SN,Total Feedback Given,Total Configured,Questions,Weightage 1,Weightage 2,Weightage 3,Weightage 4,Weightage 5,Average/ Percentage,Course Name,Basic Course,Numeric_Rating,Feedback_Text,Sentiment_Score,Sentiment_Type
1,1,12,How much of the syllabus was covered in the class?,0,0,1,0,0,3.00 / 60.00,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,3.0,"The college is okay with How much of the syllabus was covered in the class?, but needs improvement.",0.35,Positive
2,1,12,How well did the teachers prepare for the classes?,0,0,0,0,1,5.00 / 100.00,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,5.0,Excellent work on How well did the teachers prepare for the classes?. Very satisfied.,0.825,Positive
3,1,12,How well were the teachers able to communicate?,0,0,0,0,1,5.00 / 100.00,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,5.0,Excellent work on How well were the teachers able to communicate?. Very satisfied.,0.7166666666666667,Positive
4,1,12,The teachers approach to teaching can best be described as,0,0,1,0,0,3.00 / 60.00,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,3.0,"The college is okay with The teachers approach to teaching can best be described as, but needs improvement.",0.75,Positive
5,1,12,Fairness of the internal evaluation process by the teachers.,0,0,0,1,0,4.00 / 80.00,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,4.0,Excellent work on Fairness of the internal evaluation process by the teachers.. Very satisfied.,0.5499999999999999,Positive
6,1,12,Was your performance in assignments discussed with you?,0,0,0,1,0,4.00 / 80.00,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,4.0,Excellent work on Was your performance in assignments discussed with you?. Very satisfied.,0.825,Positive
7,1,12,"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",0,0,1,0,0,3.00 / 60.00,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,3.0,"The college is okay with The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students., but needs improvement.",0.18333333333333335,Positive
8,1,12,"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",0,1,0,0,0,2.00 / 40.00,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,2.0,"Unsatisfied with The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.. Action needed immediately.",0.044444444444444446,Neutral
9,1,12,The institution provides multiple opportunities to learn and grow.,0,0,0,1,0,4.00 / 80.00,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,4.0,Excellent work on The institution provides multiple opportunities to learn and grow.. Very satisfied.,0.5499999999999999,Positive
10,1,12,"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",0,0,1,0,0,3.00 / 60.00,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,3.0,"The college is okay with Teachers inform you about your expected competencies, course outcomes and program
outcomes., but needs improvement.",0.2,Positive
11,1,12,Your mentor does a necessary follow-up with an assigned task to you.,0,0,1,0,0,3.00 / 60.00,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,3.0,"The college is okay with Your mentor does a necessary follow-up with an assigned task to you., but needs improvement.",0.25,Positive
12,1,12,The teachers illustrate the concepts through examples and applications.,0,0,0,0,1,5.00 / 100.00,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,5.0,Excellent work on The teachers illustrate the concepts through examples and applications.. Very satisfied.,0.825,Positive
13,1,12,The teachers identify your strengths and encourage you to provide the proper level of challenges.,0,1,0,0,0,2.00 / 40.00,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,2.0,Unsatisfied with The teachers identify your strengths and encourage you to provide the proper level of challenges.. Action needed immediately.,0.05,Neutral
14,1,12,Teachers are able to identify your weaknesses and help you to overcome them.,0,0,1,0,0,3.00 / 60.00,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,3.0,"The college is okay with Teachers are able to identify your weaknesses and help you to overcome them., but needs improvement.",0.5,Positive
15,1,12,"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",0,0,1,0,0,3.00 / 60.00,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,3.0,"The college is okay with The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process., but needs improvement.",0.5,Positive
16,1,12,"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",0,0,1,0,0,3.00 / 60.00,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,3.0,"The college is okay with The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences., but needs improvement.",0.25,Positive
17,1,12,Teachers encourage you to participate in extracurricular activities.,0,0,0,1,0,4.00 / 80.00,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,4.0,Excellent work on Teachers encourage you to participate in extracurricular activities.. Very satisfied.,0.825,Positive
18,1,12,"Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.",0,1,0,0,0,2.00 / 40.00,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,2.0,"Unsatisfied with Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.. Action needed immediately.",0.13333333333333333,Positive
19,1,12,"What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?",0,0,0,1,0,4.00 / 80.00,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,4.0,"Excellent work on What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?. Very satisfied.",0.5499999999999999,Positive
